"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"YO4_1","SMD_OSC_DFN_2.5X3.2MM","-26.2499mm","100.8001mm","-26.2499mm","100.8001mm","-27.1499mm","101.9001mm","T","360.00","XTAL_TXC 16 MHz"
"R67","SMD_0603_RESC1608X55N","-23.5mm","100.8mm","-23.5mm","100.8mm","-23.5mm","100mm","T","90.00","(OPT)1k"
"Q2","SMD_SOT23_SOT95P240X120-3N","-27.35mm","96.7mm","-27.35mm","96.7mm","-28.5mm","97.65mm","T","0.00","(OPT)BSS138"
"R58","SMD_0603_RESC1608X55N","-15.5999mm","66.9999mm","-15.5999mm","66.9999mm","-15.5999mm","66.2mm","T","90.00","1k"
"R57","SMD_0603_RESC1608X55N","-17.0999mm","66.9999mm","-17.0999mm","66.9999mm","-17.0999mm","67.8mm","T","270.00","1k"
"R56","SMD_0603_RESC1608X55N","-15.6mm","47mm","-15.6mm","47mm","-15.6mm","46.2mm","T","90.00","1k"
"R55","SMD_0603_RESC1608X55N","-17.1mm","47mm","-17.1mm","47mm","-17.1mm","47.8mm","T","270.00","1k"
"R54","SMD_0603_RESC1608X55N","-15.6mm","27mm","-15.6mm","27mm","-15.6mm","26.2mm","T","90.00","1k"
"R53","SMD_0603_RESC1608X55N","-17.1mm","27mm","-17.1mm","27mm","-17.1mm","27.8mm","T","270.00","1k"
"R52","SMD_0603_RESC1608X55N","-15.6mm","7mm","-15.6mm","7mm","-15.6mm","6.2mm","T","90.00","1k"
"R51","SMD_0603_RESC1608X55N","-17.1mm","7mm","-17.1mm","7mm","-17.1mm","7.8mm","T","270.00","1k"
"R50","SMD_0603_RESC1608X55N","-34.3997mm","23.0001mm","-34.3997mm","23.0001mm","-34.3997mm","23.8001mm","T","270.00","1k"
"R49","SMD_0603_RESC1608X55N","-32.9mm","23mm","-32.9mm","23mm","-32.9mm","22.2mm","T","90.00","1k"
"R48","SMD_0603_RESC1608X55N","-34.4001mm","43.0001mm","-34.4001mm","43.0001mm","-34.4001mm","43.8001mm","T","270.00","1k"
"R47","SMD_0603_RESC1608X55N","-32.9004mm","43mm","-32.9004mm","43mm","-32.9004mm","42.2mm","T","90.00","1k"
"R46","SMD_0603_RESC1608X55N","-34.4001mm","63.0001mm","-34.4001mm","63.0001mm","-34.4001mm","63.8001mm","T","270.00","1k"
"R45","SMD_0603_RESC1608X55N","-32.9005mm","63mm","-32.9005mm","63mm","-32.9005mm","62.2mm","T","90.00","1k"
"R44","SMD_0603_RESC1608X55N","-36mm","82.3mm","-36mm","82.3mm","-36.8mm","82.3mm","T","360.00","1k"
"R43","SMD_0603_RESC1608X55N","-33mm","82.3mm","-33mm","82.3mm","-33.8mm","82.3mm","T","360.00","1k"
"R42","SMD_0603_RESC1608X55N","-55.5999mm","67mm","-55.5999mm","67mm","-55.5999mm","66.2mm","T","90.00","1k"
"R41","SMD_0603_RESC1608X55N","-57.0995mm","67mm","-57.0995mm","67mm","-57.0995mm","67.8mm","T","270.00","1k"
"R40","SMD_0603_RESC1608X55N","-55.6mm","47mm","-55.6mm","47mm","-55.6mm","46.2mm","T","90.00","1k"
"R39","SMD_0603_RESC1608X55N","-57.0996mm","47.0001mm","-57.0996mm","47.0001mm","-57.0996mm","47.8001mm","T","270.00","1k"
"R38","SMD_0603_RESC1608X55N","-55.5999mm","26.9999mm","-55.5999mm","26.9999mm","-55.5999mm","26.2mm","T","90.00","1k"
"R37","SMD_0603_RESC1608X55N","-57.0994mm","27mm","-57.0994mm","27mm","-57.0994mm","27.8mm","T","270.00","1k"
"R36","SMD_0603_RESC1608X55N","-55.6mm","7mm","-55.6mm","7mm","-55.6mm","6.2mm","T","90.00","1k"
"R35","SMD_0603_RESC1608X55N","-57.0996mm","7.0001mm","-57.0996mm","7.0001mm","-57.0996mm","7.8001mm","T","270.00","1k"
"R34","SMD_0603_RESC1608X55N","-74.3994mm","23mm","-74.3994mm","23mm","-74.3994mm","23.8mm","T","270.00","1k"
"R33","SMD_0603_RESC1608X55N","-72.8999mm","22.9999mm","-72.8999mm","22.9999mm","-72.8999mm","22.2mm","T","90.00","1k"
"R32","SMD_0603_RESC1608X55N","-74.3995mm","43mm","-74.3995mm","43mm","-74.3995mm","43.8mm","T","270.00","1k"
"R30","SMD_0603_RESC1608X55N","-72.9mm","42.9999mm","-72.9mm","42.9999mm","-72.9mm","42.1999mm","T","90.00","1k"
"R27","SMD_0603_RESC1608X55N","-74.4mm","63.0001mm","-74.4mm","63.0001mm","-74.4mm","63.8001mm","T","270.00","1k"
"R24","SMD_0603_RESC1608X55N","-72.9005mm","63.0001mm","-72.9005mm","63.0001mm","-72.9005mm","62.2mm","T","90.00","1k"
"R4","SMD_0603_RESC1608X55N","-76mm","82.2mm","-76mm","82.2mm","-76.8mm","82.2mm","T","360.00","1k"
"R2","SMD_0603_RESC1608X55N","-73mm","82.2mm","-73mm","82.2mm","-73.8mm","82.2mm","T","360.00","1k"
"R3","SMD_0603_RESC1608X55N","-11.8mm","96.775mm","-11.8mm","96.775mm","-12.6mm","96.775mm","T","360.00","0"
"R13","SMD_0603_RESC1608X55N","-11.8mm","95.25mm","-11.8mm","95.25mm","-11mm","95.25mm","T","180.00","(OPT)470"
"R1_16","SMD_0603_RESC1608X55N","-76.2mm","67.9mm","-76.2mm","67.9mm","-75.4mm","67.9mm","T","180.00","0"
"R1_15","SMD_0603_RESC1608X55N","-76.2mm","47.9mm","-76.2mm","47.9mm","-75.4mm","47.9mm","T","180.00","0"
"R1_14","SMD_0603_RESC1608X55N","-76.2mm","27.9mm","-76.2mm","27.9mm","-75.4mm","27.9mm","T","180.00","0"
"R1_13","SMD_0603_RESC1608X55N","-76.5mm","7.9mm","-76.5mm","7.9mm","-75.7mm","7.9mm","T","180.00","0"
"R1_12","SMD_0603_RESC1608X55N","-53.8mm","22.1mm","-53.8mm","22.1mm","-54.6mm","22.1mm","T","360.00","0"
"R1_11","SMD_0603_RESC1608X55N","-53.8mm","42.1mm","-53.8mm","42.1mm","-54.6mm","42.1mm","T","360.00","0"
"R1_10","SMD_0603_RESC1608X55N","-53.8mm","62.1mm","-53.8mm","62.1mm","-54.6mm","62.1mm","T","360.00","0"
"R1_9","SMD_0603_RESC1608X55N","-53.8mm","82mm","-53.8mm","82mm","-54.6mm","82mm","T","360.00","0"
"R1_8","SMD_0603_RESC1608X55N","-36.2mm","67.9mm","-36.2mm","67.9mm","-35.4mm","67.9mm","T","180.00","0"
"R1_7","SMD_0603_RESC1608X55N","-36.2mm","47.9mm","-36.2mm","47.9mm","-35.4mm","47.9mm","T","180.00","0"
"R1_6","SMD_0603_RESC1608X55N","-36.2mm","27.9mm","-36.2mm","27.9mm","-35.4mm","27.9mm","T","180.00","0"
"R1_5","SMD_0603_RESC1608X55N","-36.2mm","7.9mm","-36.2mm","7.9mm","-35.4mm","7.9mm","T","180.00","0"
"R1_4","SMD_0603_RESC1608X55N","-13.8mm","22.1mm","-13.8mm","22.1mm","-14.6mm","22.1mm","T","360.00","0"
"R1_3","SMD_0603_RESC1608X55N","-13.8mm","42.1mm","-13.8mm","42.1mm","-14.6mm","42.1mm","T","360.00","0"
"R1_2","SMD_0603_RESC1608X55N","-13.8mm","62.1mm","-13.8mm","62.1mm","-14.6mm","62.1mm","T","360.00","0"
"R1_1","SMD_0603_RESC1608X55N","-13.8001mm","82.1mm","-13.8001mm","82.1mm","-14.6001mm","82.1mm","T","360.00","0"
"C11_16","SMD_0603_CAPC1608X80N","-46.8mm","70.9995mm","-46.8mm","70.9995mm","-46mm","70.9995mm","T","180.00","470nF"
"C11_15","SMD_0603_CAPC1608X80N","-6.6999mm","78.2001mm","-6.6999mm","78.2001mm","-5.8999mm","78.2001mm","T","180.00","470nF"
"C11_14","SMD_0603_CAPC1608X80N","-26.7999mm","19.0001mm","-26.7999mm","19.0001mm","-25.9999mm","19.0001mm","T","180.00","470nF"
"C11_13","SMD_0603_CAPC1608X80N","-63.1999mm","37.4001mm","-63.1999mm","37.4001mm","-63.9999mm","37.4001mm","T","360.00","470nF"
"C11_12","SMD_0603_CAPC1608X80N","-6.7mm","43.8mm","-6.7mm","43.8mm","-5.9mm","43.8mm","T","180.00","470nF"
"C11_11","SMD_0603_CAPC1608X80N","-6.7mm","59.8mm","-6.7mm","59.8mm","-5.9mm","59.8mm","T","180.00","470nF"
